sample	conc	NRS	NRD	PRE
BSWCHEF120071057962	97.906179820993	98.223550797592	4.36854648981033	97.332890469574
BSWCHEF120104805454	97.8512556698953	97.9632709620906	4.46794040015467	97.4919351153259
BSWCHEF120121047356	97.752529265477	97.9204922021789	4.72524772366217	97.2684724653435
BSWCHEF120124686545	97.7902618281702	98.0216549185631	4.55316416989526	97.3443101230394
BSWCHEF120127240430	97.6104845492084	97.8327061935084	4.92073724780979	97.1531397822055
BSWCHEF120127770289	97.6551379231621	97.973340436982	4.96229930528183	96.9701981184241
BSWCHEF120130256848	97.794048143891	97.9677669416529	4.65067376264036	97.2992042586284
BSWCHEM120057745616	97.5084050352299	97.7847987397932	5.30764718942717	96.8011844737895
BSWCHEM120066947247	97.5140542462335	97.8300760492471	5.19361499786627	96.8747994478608
BSWCHEM120079379790	97.4474019441345	98.2541485722442	5.32510725994167	96.3152173014378
RM1894	97.9300054428859	98.1117918689629	4.35805634039082	97.4557109948562
RM1896	97.7446228054907	98.005671881457	4.66311093712055	97.2461578360025
RM1897	98.035310099724	98.1657694895478	4.11794330689204	97.6500982669063
RM1898	97.9395236073559	98.1048601025379	4.37597554676279	97.4453918505471
RM1899	97.9901228676804	98.1176262804122	4.13349481761819	97.6826412191048
RM1900	98.0900622464801	98.2171368248931	4.01934450496799	97.7009327900534
RM1901	97.9419402496885	98.1629596347705	4.26612653056001	97.5001346132689
RM1902	97.909523118598	98.0774890096348	4.38347212396678	97.4644067242749
RM1903	97.913106677941	98.1491845268885	4.35870723617248	97.4178843502162
RM1904	98.0089446882038	98.1992095399193	4.16753720493368	97.5656700202871
RM1905	97.9282453338092	98.1384165443981	4.33578877433719	97.4522852930249
RM1906	98.0121476070828	98.1719722039822	4.13755404735146	97.6237179191558
RM1907	98.0984257909469	98.2739845357886	4.00914058452693	97.653809475538
RM2009	97.8765575909534	98.1995228427328	4.42889656709695	97.2964131659276
